"radio_id","escuela_id","tiempo_min"
"18","56",5.5
"18","57",5.5
"18","58",5.5
"18","59",5.5
"18","60",5.5
"18","61",5.5
"18","62",5.5
"18","63",5.5
"18","64",5.5
"18","65",5.5
"18","66",5.5
"18","67",240.4
"18","68",11.5
"18","69",137.8
"18","70",137.8
"18","71",2.3
"18","72",138.7
"18","73",146.2
"18","74",234.3
"19","1",138
"19","2",138
"19","3",139.2
"19","4",139.2
"19","5",139.2
"19","6",137.5
"19","7",137.5
"19","8",137.5
"19","9",137.5
"19","10",137.5
"19","11",137.5
"19","12",137.5
"19","13",137.5
"19","14",143.1
"19","15",143.1
"19","16",143.1
"19","17",243
"19","18",243
"19","19",243
"19","20",242.9
"19","21",242.9
"19","22",239.7
"19","23",239.2
"19","24",239.2
"19","25",239.2
"19","26",239.2
"19","27",238.2
"19","28",243.8
"19","29",229.6
"19","30",229.6
"19","31",9.7
"19","32",239
"19","33",239
"19","34",242.4
"19","35",232.1
"19","36",141.5
"19","37",11.2
"19","38",134.8
"19","39",134.8
"19","40",5.8
"19","41",13.9
"19","42",240.5
"19","43",239.1
"19","44",7.4
"19","45",243.7
"19","46",232.3
"19","47",13
"19","48",239.5
"19","49",239.5
"19","50",239.5
"19","51",231.3
"19","52",231.3
"19","53",11.1
"19","54",5.5
"19","55",5.5
"19","56",5.5
"19","57",5.5
"19","58",5.5
"19","59",5.5
"19","60",5.5
"19","61",5.5
"19","62",5.5
"19","63",5.5
"19","64",5.5
"19","65",5.5
"19","66",5.5
"19","67",240.4
"19","68",11.5
"19","69",137.8
"19","70",137.8
"19","71",2.3
"19","72",138.7
"19","73",146.2
"19","74",234.3
"20","1",138
"20","2",138
"20","3",139.2
"20","4",139.2
"20","5",139.2
"20","6",137.5
"20","7",137.5
"20","8",137.5
"20","9",137.5
"20","10",137.5
"20","11",137.5
"20","12",137.5
"20","13",137.5
"20","14",143.1
"20","15",143.1
"20","16",143.1
"20","17",243
"20","18",243
"20","19",243
"20","20",242.9
"20","21",242.9
"20","22",239.7
"20","23",239.2
"20","24",239.2
"20","25",239.2
"20","26",239.2
"20","27",238.2
"20","28",243.8
"20","29",229.6
"20","30",229.6
"20","31",9.7
"20","32",239
"20","33",239
"20","34",242.4
"20","35",232.1
"20","36",141.5
"20","37",11.2
"20","38",134.8
"20","39",134.8
"20","40",5.8
"20","41",13.9
"20","42",240.5
"20","43",239.1
"20","44",7.4
"20","45",243.7
"20","46",232.3
"20","47",13
"20","48",239.5
"20","49",239.5
"20","50",239.5
"20","51",231.3
"20","52",231.3
"20","53",11.1
"20","54",5.5
"20","55",5.5
"20","56",5.5
"20","57",5.5
"20","58",5.5
"20","59",5.5
"20","60",5.5
"20","61",5.5
"20","62",5.5
"20","63",5.5
"20","64",5.5
"20","65",5.5
"20","66",5.5
"20","67",240.4
"20","68",11.5
"20","69",137.8
"20","70",137.8
"20","71",2.3
"20","72",138.7
"20","73",146.2
"20","74",234.3
"21","1",143.2
"21","2",143.2
"21","3",144.4
"21","4",144.4
"21","5",144.4
"21","6",142.7
"21","7",142.7
"21","8",142.7
"21","9",142.7
"21","10",142.7
"21","11",142.7
"21","12",142.7
"21","13",142.7
"21","14",148.3
"21","15",148.3
"21","16",148.3
"21","17",237.2
"21","18",237.2
"21","19",237.2
"21","20",237.1
"21","21",237.1
"21","22",233.9
"21","23",233.4
"21","24",233.4
"21","25",233.4
"21","26",233.4
"21","27",232.4
"21","28",238
"21","29",223.8
"21","30",223.8
"21","31",14.9
"21","32",233.2
"21","33",233.2
"21","34",236.6
"21","35",226.3
"21","36",146.7
"21","37",5.4
"21","38",140
"21","39",140
"21","40",11
"21","41",8.1
"21","42",234.7
"21","43",233.3
"21","44",12.6
"21","45",237.9
"21","46",226.5
"21","47",8.4
"21","48",233.7
"21","49",233.7
"21","50",233.7
"21","51",225.5
"21","52",225.5
"21","53",16.3
"21","54",10
"21","55",10
"21","56",10
"21","57",10
"21","58",10
"21","59",10
"21","60",10
"21","61",10
"21","62",10
"21","63",10
"21","64",10
"21","65",10
"21","66",10
"21","67",234.6
"21","68",5.7
"21","69",143
"21","70",143
"21","71",3.6
"21","72",143.9
"21","73",151.4
"21","74",228.5
"22","1",143.2
"22","2",143.2
"22","3",144.4
"22","4",144.4
"22","5",144.4
"22","6",142.7
"22","7",142.7
"22","8",142.7
"22","9",142.7
"22","10",142.7
"22","11",142.7
"22","12",142.7
"22","13",142.7
"22","14",148.3
"22","15",148.3
"22","16",148.3
"22","17",237.2
"22","18",237.2
"22","19",237.2
"22","20",237.1
"22","21",237.1
"22","22",233.9
"22","23",233.4
"22","24",233.4
"22","25",233.4
"22","26",233.4
"22","27",232.4
"22","28",238
"22","29",223.8
"22","30",223.8
"22","31",14.9
"22","32",233.2
"22","33",233.2
"22","34",236.6
"22","35",226.3
"22","36",146.7
"22","37",5.4
"22","38",140
"22","39",140
"22","40",11
"22","41",8.1
"22","42",234.7
"22","43",233.3
"22","44",12.6
"22","45",237.9
"22","46",226.5
